Entity,assigned_cluster,mean_p,mean_g,mean_i,mean_f
Ukraine,3,-0.796690329967135,1.4704579562432551,-4.181863142065743,0.1773425561222849
United Kingdom,3,0.5700236521391122,1.2466999296886159,-2.588393807901579,-1.2908263325396423
United States,3,0.8988178019675144,1.4913670682904352,-1.908057459743987,-0.5751369770103003
Uzbekistan,3,1.580921937353329,3.4800076072143797,-4.031031536787973,-0.16391475344726045
Benin,4,3.0141116002926114,1.3097338899676074,2.3280097997953475,0.6492443054773201
Burkina Faso,4,2.9787651144506526,1.3766974278878104,3.6945026156890237,0.8127913858028232
Burundi,4,3.1200458641833473,-1.3338179333550864,2.293520098465638,1.9061945937255056
Cambodia,4,2.3108283530087927,3.851490049637848,7.597350706608826,-2.41478951180615
Central African Republic,4,1.5987101119787073,-1.1966449265474142,1.034371673282728,2.0533133354421698
Chad,4,3.714589167506621,2.6388253223116425,2.757944940638229,-1.113080427152838
Comoros,4,2.034943599206542,1.9430758933558867,3.8402591608697714,0.22021007459957323
Congo,4,2.974380173781748,0.4997289103184689,3.8308221700260443,-2.8607633974478084
Haiti,4,1.701855185626017,1.2194328806029016,5.717927819687597,9.75343367467899
Laos,4,1.7282439923633834,5.461058270938704,8.239517173401385,-0.08244533187853888
Lesotho,4,0.6153819391216725,0.6635785886725559,4.359624821834584,-3.2213259715084814
Mali,4,3.1390376740356296,1.4736273934500508,5.674498110581683,0.10008704282294255
Mozambique,4,2.8952940943008554,-0.6469347225484544,7.356478141351674,0.6562857565659369
Nepal,4,1.1678356007714465,2.726523113665188,4.5808530226987605,1.3766431024385455
Palestine,4,2.58002024236253,-0.3272587625385135,8.65086305374109,-1.840021114717917
Syria,4,1.7007728952805945,-4.758498824971322,1.703735223456281,0.9432205449654184
Togo,4,2.666252524545285,1.1839296604138638,2.043149279057012,-0.26004949800047034
Venezuela,4,0.9634990190600855,-3.23798830791885,2.045582631070316,0.4184137843105761
Yemen,4,3.0951004479184037,-1.8540261203609025,1.8351642156736545,-1.3118318475200392
